total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
8,8,862,5,1.0,0.00580046403712297
2,0,595,0,0.0,0.0
4,0,615,0,0.0,0.0
42,39,701,30,0.9285714285714286,0.042796005706134094
19,17,769,30,0.8947368421052632,0.03901170351105332
2,2,928,1,1.0,0.0010775862068965517
20,18,1187,19,0.9,0.016006739679865205
32,30,594,44,0.9375,0.07407407407407407
21,18,723,16,0.8571428571428571,0.022130013831258646
1,1,564,1,1.0,0.0017730496453900709
45,41,865,56,0.9111111111111111,0.06473988439306358
20,20,763,26,1.0,0.03407601572739188
2,0,1005,0,0.0,0.0
23,22,1178,39,0.9565217391304348,0.03310696095076401
2,0,740,0,0.0,0.0
23,17,467,6,0.7391304347826086,0.01284796573875803
4,4,529,1,1.0,0.001890359168241966
19,19,728,45,1.0,0.061813186813186816
13,11,543,9,0.8461538461538461,0.016574585635359115
19,17,465,23,0.8947368421052632,0.04946236559139785
1,0,1032,0,0.0,0.0
49,27,536,14,0.5510204081632653,0.026119402985074626
11,11,792,22,1.0,0.027777777777777776
1,0,536,0,0.0,0.0
4,0,369,0,0.0,0.0
29,24,770,36,0.8275862068965517,0.046753246753246755
18,18,617,27,1.0,0.04376012965964344
30,14,1006,16,0.4666666666666667,0.015904572564612324
24,19,766,6,0.7916666666666666,0.007832898172323759
109,95,1013,108,0.8715596330275229,0.10661401776900296
20,20,900,34,1.0,0.03777777777777778
18,17,940,28,0.9444444444444444,0.029787234042553193
3,1,1154,1,0.3333333333333333,0.0008665511265164644
35,26,897,39,0.7428571428571429,0.043478260869565216
26,13,1087,11,0.5,0.010119595216191352
18,18,573,30,1.0,0.05235602094240838
24,20,1014,28,0.8333333333333334,0.027613412228796843
76,66,850,76,0.868421052631579,0.08941176470588236
74,73,856,65,0.9864864864864865,0.07593457943925233
35,33,525,45,0.9428571428571428,0.08571428571428572
60,52,1224,26,0.8666666666666667,0.021241830065359478
3,3,936,2,1.0,0.002136752136752137
30,30,786,43,1.0,0.054707379134860054
2,0,257,0,0.0,0.0
5,0,968,0,0.0,0.0
5,5,1238,1,1.0,0.0008077544426494346
3,0,303,0,0.0,0.0
0,0,956,0,0.0,0.0
30,28,411,34,0.9333333333333333,0.0827250608272506
15,15,561,26,1.0,0.04634581105169341
25,25,590,36,1.0,0.061016949152542375
8,7,836,3,0.875,0.0035885167464114833
2,0,636,0,0.0,0.0
50,44,1081,60,0.88,0.05550416281221091
23,23,1348,35,1.0,0.02596439169139466
47,42,572,56,0.8936170212765957,0.0979020979020979
6,6,745,3,1.0,0.004026845637583893
68,68,1160,79,1.0,0.06810344827586207
8,2,805,2,0.25,0.002484472049689441
30,25,827,9,0.8333333333333334,0.010882708585247884
14,14,869,13,1.0,0.014959723820483314
7,7,574,9,1.0,0.0156794425087108
121,102,797,138,0.8429752066115702,0.17314930991217065
88,66,655,31,0.75,0.04732824427480916
7,7,337,9,1.0,0.026706231454005934
4,3,1129,1,0.75,0.0008857395925597874
57,52,475,71,0.9122807017543859,0.14947368421052631
2,2,730,3,1.0,0.00410958904109589
10,7,632,2,0.7,0.0031645569620253164
8,6,923,3,0.75,0.0032502708559046588
20,17,881,13,0.85,0.014755959137343927
32,31,447,39,0.96875,0.087248322147651
2,0,737,0,0.0,0.0
64,53,858,67,0.828125,0.0780885780885781
19,15,882,16,0.7894736842105263,0.018140589569160998
30,26,624,17,0.8666666666666667,0.027243589743589744
5,0,1072,0,0.0,0.0
8,8,763,10,1.0,0.01310615989515072
2,0,1250,0,0.0,0.0
4,0,610,0,0.0,0.0
23,22,694,16,0.9565217391304348,0.023054755043227664
1,0,1137,0,0.0,0.0
15,12,827,4,0.8,0.0048367593712212815
6,4,803,2,0.6666666666666666,0.0024906600249066002
2,2,775,1,1.0,0.0012903225806451613
2,2,520,1,1.0,0.0019230769230769232
