total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
18,18,744,35,1.0,0.04704301075268817
23,4,701,1,0.17391304347826086,0.0014265335235378032
25,0,717,0,0.0,0.0
30,0,427,0,0.0,0.0
23,3,682,1,0.13043478260869565,0.001466275659824047
21,0,682,0,0.0,0.0
59,25,886,7,0.423728813559322,0.007900677200902935
22,8,797,1,0.36363636363636365,0.0012547051442910915
22,12,509,2,0.5454545454545454,0.003929273084479371
10,0,1129,0,0.0,0.0
40,8,500,4,0.2,0.008
88,39,711,11,0.4431818181818182,0.015471167369901548
91,26,925,6,0.2857142857142857,0.006486486486486486
35,0,1055,0,0.0,0.0
35,5,732,2,0.14285714285714285,0.00273224043715847
42,1,1020,1,0.023809523809523808,0.000980392156862745
55,11,686,1,0.2,0.0014577259475218659
36,22,599,2,0.6111111111111112,0.00333889816360601
68,27,1245,21,0.39705882352941174,0.016867469879518072
14,0,556,0,0.0,0.0
44,1,590,1,0.022727272727272728,0.001694915254237288
36,9,910,2,0.25,0.002197802197802198
29,8,934,3,0.27586206896551724,0.0032119914346895075
36,12,915,1,0.3333333333333333,0.001092896174863388
75,73,2102,59,0.9733333333333334,0.028068506184586107
24,0,613,0,0.0,0.0
53,25,842,8,0.4716981132075472,0.009501187648456057
39,2,1320,3,0.05128205128205128,0.0022727272727272726
49,30,1059,6,0.6122448979591837,0.0056657223796034
166,44,995,17,0.26506024096385544,0.017085427135678392
52,10,1055,2,0.19230769230769232,0.0018957345971563982
35,24,1031,3,0.6857142857142857,0.002909796314258002
17,0,773,0,0.0,0.0
48,34,1057,10,0.7083333333333334,0.00946073793755913
72,25,588,14,0.3472222222222222,0.023809523809523808
48,9,1381,4,0.1875,0.002896451846488052
45,5,958,8,0.1111111111111111,0.008350730688935281
14,0,1158,0,0.0,0.0
23,0,980,0,0.0,0.0
17,2,1042,2,0.11764705882352941,0.0019193857965451055
85,12,694,11,0.1411764705882353,0.01585014409221902
26,7,1077,2,0.2692307692307692,0.0018570102135561746
29,0,1273,0,0.0,0.0
31,8,599,6,0.25806451612903225,0.01001669449081803
14,12,1268,4,0.8571428571428571,0.0031545741324921135
19,0,1132,0,0.0,0.0
42,28,1170,27,0.6666666666666666,0.023076923076923078
46,20,1444,11,0.43478260869565216,0.007617728531855956
20,14,729,5,0.7,0.006858710562414266
32,4,818,3,0.125,0.003667481662591687
22,0,640,0,0.0,0.0
20,0,846,0,0.0,0.0
30,9,1291,3,0.3,0.0023237800154918666
45,20,573,3,0.4444444444444444,0.005235602094240838
116,16,1102,17,0.13793103448275862,0.015426497277676952
38,36,1379,10,0.9473684210526315,0.007251631617113851
21,0,971,0,0.0,0.0
23,5,1066,2,0.21739130434782608,0.001876172607879925
21,9,669,4,0.42857142857142855,0.005979073243647235
33,0,1131,0,0.0,0.0
21,10,1173,4,0.47619047619047616,0.0034100596760443308
42,16,1356,6,0.38095238095238093,0.004424778761061947
36,20,1167,8,0.5555555555555556,0.006855184233076264
36,25,644,4,0.6944444444444444,0.006211180124223602
52,8,586,4,0.15384615384615385,0.006825938566552901
26,2,582,1,0.07692307692307693,0.001718213058419244
56,5,2068,4,0.08928571428571429,0.0019342359767891683
50,36,977,7,0.72,0.007164790174002047
32,0,1017,0,0.0,0.0
25,1,984,1,0.04,0.0010162601626016261
51,4,1060,3,0.0784313725490196,0.002830188679245283
51,0,496,0,0.0,0.0
22,1,800,1,0.045454545454545456,0.00125
41,37,1471,18,0.9024390243902439,0.012236573759347382
50,27,499,6,0.54,0.012024048096192385
14,6,987,2,0.42857142857142855,0.002026342451874367
35,26,951,7,0.7428571428571429,0.007360672975814932
29,1,1008,1,0.034482758620689655,0.000992063492063492
40,32,738,8,0.8,0.01084010840108401
53,27,700,7,0.5094339622641509,0.01
34,16,945,4,0.47058823529411764,0.004232804232804233
140,34,710,13,0.24285714285714285,0.018309859154929577
43,2,960,1,0.046511627906976744,0.0010416666666666667
81,3,895,1,0.037037037037037035,0.0011173184357541898
17,2,1247,1,0.11764705882352941,0.0008019246190858059
29,10,977,3,0.3448275862068966,0.0030706243602865915
27,0,829,0,0.0,0.0
42,2,744,2,0.047619047619047616,0.002688172043010753
46,3,670,2,0.06521739130434782,0.0029850746268656717
15,8,835,1,0.5333333333333333,0.0011976047904191617
11,1,706,1,0.09090909090909091,0.00141643059490085
12,0,812,0,0.0,0.0
39,10,1689,7,0.2564102564102564,0.0041444641799881585
47,3,587,2,0.06382978723404255,0.0034071550255536627
110,26,877,16,0.23636363636363636,0.018244013683010263
44,5,1184,2,0.11363636363636363,0.0016891891891891893
25,0,930,0,0.0,0.0
24,10,1093,10,0.4166666666666667,0.009149130832570906
15,0,899,0,0.0,0.0
78,53,1114,12,0.6794871794871795,0.010771992818671455
50,25,567,2,0.5,0.003527336860670194
63,8,1582,7,0.12698412698412698,0.004424778761061947
10,0,928,0,0.0,0.0
51,18,776,3,0.35294117647058826,0.003865979381443299
12,0,769,0,0.0,0.0
44,0,1174,0,0.0,0.0
26,0,690,0,0.0,0.0
64,39,873,10,0.609375,0.011454753722794959
19,5,722,1,0.2631578947368421,0.0013850415512465374
12,0,641,0,0.0,0.0
32,13,1370,6,0.40625,0.004379562043795621
29,9,933,2,0.3103448275862069,0.0021436227224008574
69,32,1020,12,0.463768115942029,0.011764705882352941
41,5,875,4,0.12195121951219512,0.004571428571428572
54,15,759,8,0.2777777777777778,0.010540184453227932
19,0,1160,0,0.0,0.0
22,0,985,0,0.0,0.0
64,14,604,6,0.21875,0.009933774834437087
47,41,389,29,0.8723404255319149,0.07455012853470437
24,4,618,2,0.16666666666666666,0.003236245954692557
50,16,752,2,0.32,0.0026595744680851063
14,11,1027,2,0.7857142857142857,0.0019474196689386564
15,0,1053,0,0.0,0.0
20,6,1125,1,0.3,0.0008888888888888889
61,17,623,4,0.2786885245901639,0.006420545746388443
24,0,856,0,0.0,0.0
37,2,541,2,0.05405405405405406,0.0036968576709796672
42,28,1017,7,0.6666666666666666,0.00688298918387414
55,0,885,0,0.0,0.0
47,2,938,2,0.0425531914893617,0.0021321961620469083
50,4,546,2,0.08,0.003663003663003663
35,4,843,1,0.11428571428571428,0.0011862396204033216
14,8,1064,2,0.5714285714285714,0.0018796992481203006
17,1,678,1,0.058823529411764705,0.0014749262536873156
41,16,746,12,0.3902439024390244,0.0160857908847185
14,0,760,0,0.0,0.0
24,0,1441,0,0.0,0.0
15,0,722,0,0.0,0.0
38,4,711,4,0.10526315789473684,0.005625879043600563
84,70,1115,59,0.8333333333333334,0.05291479820627803
35,0,936,0,0.0,0.0
59,11,801,13,0.1864406779661017,0.016229712858926344
24,3,1041,4,0.125,0.0038424591738712775
39,38,1132,9,0.9743589743589743,0.007950530035335688
20,12,799,2,0.6,0.0025031289111389237
15,3,1356,6,0.2,0.004424778761061947
30,1,699,1,0.03333333333333333,0.001430615164520744
46,16,792,4,0.34782608695652173,0.005050505050505051
32,1,703,1,0.03125,0.001422475106685633
19,10,1285,3,0.5263157894736842,0.0023346303501945525
15,7,1025,3,0.4666666666666667,0.002926829268292683
18,4,537,1,0.2222222222222222,0.00186219739292365
23,0,596,0,0.0,0.0
75,14,704,8,0.18666666666666668,0.011363636363636364
15,4,1103,1,0.26666666666666666,0.0009066183136899365
35,10,1064,5,0.2857142857142857,0.004699248120300752
28,0,1037,0,0.0,0.0
80,20,636,5,0.25,0.007861635220125786
29,4,1087,1,0.13793103448275862,0.0009199632014719411
16,0,850,0,0.0,0.0
23,20,981,28,0.8695652173913043,0.02854230377166157
43,6,922,2,0.13953488372093023,0.0021691973969631237
31,1,325,1,0.03225806451612903,0.003076923076923077
29,0,603,0,0.0,0.0
98,58,1191,14,0.5918367346938775,0.011754827875734676
65,20,1172,8,0.3076923076923077,0.006825938566552901
24,15,384,2,0.625,0.005208333333333333
13,0,699,0,0.0,0.0
22,1,1512,1,0.045454545454545456,0.0006613756613756613
36,9,944,5,0.25,0.005296610169491525
16,1,967,1,0.0625,0.001034126163391934
29,19,930,2,0.6551724137931034,0.002150537634408602
16,0,1032,0,0.0,0.0
31,16,864,3,0.5161290322580645,0.003472222222222222
11,9,1129,1,0.8181818181818182,0.0008857395925597874
55,17,669,2,0.3090909090909091,0.0029895366218236174
27,2,698,2,0.07407407407407407,0.0028653295128939827
51,8,864,5,0.1568627450980392,0.005787037037037037
50,5,979,3,0.1,0.0030643513789581204
16,0,1291,0,0.0,0.0
28,2,460,1,0.07142857142857142,0.002173913043478261
31,13,670,7,0.41935483870967744,0.010447761194029851
20,0,551,0,0.0,0.0
23,0,1187,0,0.0,0.0
54,7,602,3,0.12962962962962962,0.0049833887043189366
33,1,654,2,0.030303030303030304,0.0030581039755351682
25,5,990,1,0.2,0.00101010101010101
25,1,744,1,0.04,0.0013440860215053765
24,18,969,4,0.75,0.0041279669762641896
122,51,746,24,0.4180327868852459,0.032171581769437
21,10,1671,8,0.47619047619047616,0.0047875523638539795
36,0,581,0,0.0,0.0
22,0,1282,0,0.0,0.0
28,1,736,1,0.03571428571428571,0.001358695652173913
62,42,1617,19,0.6774193548387096,0.011750154607297465
46,14,1002,4,0.30434782608695654,0.003992015968063872
29,0,853,0,0.0,0.0
60,1,817,1,0.016666666666666666,0.0012239902080783353
100,52,1110,25,0.52,0.02252252252252252
22,5,497,2,0.22727272727272727,0.004024144869215292
41,12,804,3,0.2926829268292683,0.0037313432835820895
23,0,979,0,0.0,0.0
24,0,956,0,0.0,0.0
42,16,476,4,0.38095238095238093,0.008403361344537815
41,28,1080,3,0.6829268292682927,0.002777777777777778
33,1,950,1,0.030303030303030304,0.0010526315789473684
28,24,646,5,0.8571428571428571,0.007739938080495356
62,10,539,5,0.16129032258064516,0.00927643784786642
20,0,480,0,0.0,0.0
22,2,737,1,0.09090909090909091,0.0013568521031207597
29,17,655,2,0.5862068965517241,0.0030534351145038168
45,3,685,1,0.06666666666666667,0.00145985401459854
18,12,956,2,0.6666666666666666,0.0020920502092050207
44,4,1077,2,0.09090909090909091,0.0018570102135561746
65,21,619,2,0.3230769230769231,0.0032310177705977385
36,0,825,0,0.0,0.0
35,1,947,1,0.02857142857142857,0.0010559662090813093
36,2,704,2,0.05555555555555555,0.002840909090909091
23,22,1167,7,0.9565217391304348,0.005998286203941731
18,11,1241,3,0.6111111111111112,0.0024174053182917004
23,0,973,0,0.0,0.0
35,0,589,0,0.0,0.0
83,32,814,16,0.3855421686746988,0.019656019656019656
35,0,548,0,0.0,0.0
38,13,863,4,0.34210526315789475,0.004634994206257242
13,9,904,2,0.6923076923076923,0.0022123893805309734
25,0,550,0,0.0,0.0
36,10,961,4,0.2777777777777778,0.004162330905306972
43,29,1004,12,0.6744186046511628,0.01195219123505976
43,38,998,4,0.8837209302325582,0.004008016032064128
57,21,400,4,0.3684210526315789,0.01
17,7,924,1,0.4117647058823529,0.0010822510822510823
33,27,1033,6,0.8181818181818182,0.005808325266214908
43,19,734,3,0.4418604651162791,0.004087193460490463
15,2,805,1,0.13333333333333333,0.0012422360248447205
53,22,1099,2,0.41509433962264153,0.0018198362147406734
26,1,701,1,0.038461538461538464,0.0014265335235378032
16,0,678,0,0.0,0.0
69,18,801,8,0.2608695652173913,0.009987515605493134
32,1,1005,1,0.03125,0.0009950248756218905
23,0,1030,0,0.0,0.0
28,0,651,0,0.0,0.0
42,24,813,3,0.5714285714285714,0.0036900369003690036
49,21,740,7,0.42857142857142855,0.00945945945945946
32,8,937,5,0.25,0.005336179295624333
32,2,1306,3,0.0625,0.002297090352220521
19,4,907,3,0.21052631578947367,0.0033076074972436605
116,51,840,21,0.4396551724137931,0.025
45,0,209,0,0.0,0.0
20,12,620,1,0.6,0.0016129032258064516
29,25,917,4,0.8620689655172413,0.004362050163576881
46,6,677,2,0.13043478260869565,0.0029542097488921715
21,6,639,1,0.2857142857142857,0.001564945226917058
23,1,739,1,0.043478260869565216,0.0013531799729364006
76,16,1082,32,0.21052631578947367,0.029574861367837338
30,28,826,8,0.9333333333333333,0.009685230024213076
17,0,822,0,0.0,0.0
76,29,1004,25,0.3815789473684211,0.0249003984063745
35,20,1554,3,0.5714285714285714,0.0019305019305019305
36,18,1052,2,0.5,0.0019011406844106464
42,11,884,7,0.2619047619047619,0.007918552036199095
22,0,715,0,0.0,0.0
68,4,572,4,0.058823529411764705,0.006993006993006993
39,29,1065,6,0.7435897435897436,0.005633802816901409
51,13,1060,7,0.2549019607843137,0.006603773584905661
21,8,967,2,0.38095238095238093,0.002068252326783868
77,15,1060,11,0.19480519480519481,0.010377358490566037
17,14,548,4,0.8235294117647058,0.0072992700729927005
15,1,477,1,0.06666666666666667,0.0020964360587002098
85,6,583,7,0.07058823529411765,0.012006861063464836
45,19,994,6,0.4222222222222222,0.006036217303822937
40,0,596,0,0.0,0.0
24,17,1058,3,0.7083333333333334,0.002835538752362949
35,14,865,4,0.4,0.004624277456647399
24,13,855,1,0.5416666666666666,0.0011695906432748538
62,12,1075,6,0.1935483870967742,0.005581395348837209
17,0,513,0,0.0,0.0
36,13,583,6,0.3611111111111111,0.010291595197255575
