total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
30,29,503,28,0.9666666666666667,0.055666003976143144
30,28,899,43,0.9333333333333333,0.047830923248053395
41,41,643,50,1.0,0.07776049766718507
54,38,964,19,0.7037037037037037,0.01970954356846473
56,53,435,71,0.9464285714285714,0.1632183908045977
10,8,549,3,0.8,0.00546448087431694
87,64,675,32,0.735632183908046,0.047407407407407405
69,67,1223,90,0.9710144927536232,0.07358953393295176
51,48,677,69,0.9411764705882353,0.1019202363367799
45,43,569,59,0.9555555555555556,0.10369068541300527
67,62,1094,57,0.9253731343283582,0.05210237659963437
18,14,497,12,0.7777777777777778,0.02414486921529175
37,33,692,54,0.8918918918918919,0.07803468208092486
25,14,536,6,0.56,0.011194029850746268
31,29,372,25,0.9354838709677419,0.06720430107526881
15,7,397,5,0.4666666666666667,0.012594458438287154
97,88,815,83,0.9072164948453608,0.10184049079754601
72,63,811,62,0.875,0.07644882860665844
41,33,703,54,0.8048780487804879,0.07681365576102418
62,46,538,62,0.7419354838709677,0.11524163568773234
20,17,796,18,0.85,0.022613065326633167
29,29,733,48,1.0,0.06548431105047749
11,8,498,1,0.7272727272727273,0.002008032128514056
75,70,981,85,0.9333333333333333,0.08664627930682976
24,24,966,41,1.0,0.042443064182194616
18,18,1131,39,1.0,0.034482758620689655
19,15,609,5,0.7894736842105263,0.008210180623973728
55,42,571,51,0.7636363636363637,0.0893169877408056
54,51,893,71,0.9444444444444444,0.07950727883538634
30,26,814,40,0.8666666666666667,0.04914004914004914
176,144,781,129,0.8181818181818182,0.16517285531370038
14,14,636,20,1.0,0.031446540880503145
10,10,1145,4,1.0,0.0034934497816593887
23,21,502,21,0.9130434782608695,0.04183266932270916
16,15,727,13,0.9375,0.017881705639614855
68,66,986,85,0.9705882352941176,0.08620689655172414
21,20,950,21,0.9523809523809523,0.022105263157894735
31,31,1090,51,1.0,0.046788990825688076
23,20,1007,21,0.8695652173913043,0.020854021847070508
33,31,714,40,0.9393939393939394,0.056022408963585436
90,74,535,84,0.8222222222222222,0.15700934579439252
30,29,934,47,0.9666666666666667,0.05032119914346895
40,38,887,59,0.95,0.0665163472378805
9,8,761,7,0.8888888888888888,0.009198423127463863
33,31,1098,57,0.9393939393939394,0.05191256830601093
111,75,628,70,0.6756756756756757,0.11146496815286625
71,59,843,40,0.8309859154929577,0.04744958481613286
52,44,1127,65,0.8461538461538461,0.05767524401064774
15,13,1157,18,0.8666666666666667,0.015557476231633534
14,14,534,13,1.0,0.024344569288389514
82,65,602,91,0.7926829268292683,0.1511627906976744
9,3,318,1,0.3333333333333333,0.0031446540880503146
175,150,748,106,0.8571428571428571,0.14171122994652408
16,13,1081,14,0.8125,0.012950971322849213
32,31,308,39,0.96875,0.1266233766233766
52,52,954,69,1.0,0.07232704402515723
26,22,1217,35,0.8461538461538461,0.02875924404272802
18,18,971,27,1.0,0.027806385169927908
32,32,1398,39,1.0,0.027896995708154508
18,17,1208,22,0.9444444444444444,0.018211920529801324
68,51,1024,38,0.75,0.037109375
34,23,504,9,0.6764705882352942,0.017857142857142856
14,9,864,3,0.6428571428571429,0.003472222222222222
72,68,297,72,0.9444444444444444,0.24242424242424243
83,79,1423,104,0.9518072289156626,0.07308503162333099
118,87,593,95,0.7372881355932204,0.16020236087689713
21,20,721,15,0.9523809523809523,0.020804438280166437
24,23,800,32,0.9583333333333334,0.04
67,62,700,90,0.9253731343283582,0.12857142857142856
82,77,619,63,0.9390243902439024,0.10177705977382875
61,54,718,52,0.8852459016393442,0.07242339832869081
15,15,1118,5,1.0,0.004472271914132379
71,55,1242,57,0.7746478873239436,0.04589371980676329
6,6,902,3,1.0,0.0033259423503325942
84,72,914,84,0.8571428571428571,0.09190371991247265
23,23,853,31,1.0,0.03634232121922626
18,13,463,5,0.7222222222222222,0.01079913606911447
10,0,696,0,0.0,0.0
39,33,936,23,0.8461538461538461,0.024572649572649572
47,44,1675,75,0.9361702127659575,0.04477611940298507
9,1,508,1,0.1111111111111111,0.001968503937007874
31,22,712,7,0.7096774193548387,0.009831460674157303
71,64,1297,89,0.9014084507042254,0.06861989205859677
17,11,734,9,0.6470588235294118,0.01226158038147139
107,94,888,142,0.8785046728971962,0.15990990990990991
16,13,935,6,0.8125,0.006417112299465241
