total_sim_hits,matched_sim_hits,total_rec_hits,matched_rec_hits,sim_match_fraction,rec_match_fraction
22,22,491,27,1.0,0.054989816700611
30,27,754,20,0.9,0.026525198938992044
31,25,808,27,0.8064516129032258,0.03341584158415842
29,29,671,38,1.0,0.05663189269746647
21,17,586,25,0.8095238095238095,0.042662116040955635
25,25,686,42,1.0,0.061224489795918366
34,34,1061,43,1.0,0.04052780395852969
43,34,1177,59,0.7906976744186046,0.05012744265080714
60,46,414,62,0.7666666666666667,0.1497584541062802
47,42,721,56,0.8936170212765957,0.07766990291262135
40,40,1008,59,1.0,0.05853174603174603
59,54,1700,74,0.9152542372881356,0.04352941176470588
12,12,327,25,1.0,0.0764525993883792
85,81,1183,108,0.9529411764705882,0.09129332206255283
35,35,986,60,1.0,0.060851926977687626
33,23,673,38,0.696969696969697,0.05646359583952452
74,62,678,85,0.8378378378378378,0.12536873156342182
112,98,696,124,0.875,0.1781609195402299
21,20,1009,22,0.9523809523809523,0.02180376610505451
33,26,942,42,0.7878787878787878,0.044585987261146494
17,9,673,1,0.5294117647058824,0.0014858841010401188
30,16,514,5,0.5333333333333333,0.009727626459143969
25,24,696,41,0.96,0.05890804597701149
38,37,1229,66,0.9736842105263158,0.05370219690805533
47,47,580,65,1.0,0.11206896551724138
56,51,1340,58,0.9107142857142857,0.04328358208955224
20,17,463,26,0.85,0.056155507559395246
42,35,989,46,0.8333333333333334,0.046511627906976744
38,36,870,45,0.9473684210526315,0.05172413793103448
17,7,591,2,0.4117647058823529,0.00338409475465313
28,28,870,42,1.0,0.04827586206896552
23,23,560,39,1.0,0.06964285714285715
36,36,858,52,1.0,0.06060606060606061
52,48,817,68,0.9230769230769231,0.0832313341493268
37,36,1057,57,0.972972972972973,0.05392620624408704
50,43,1338,59,0.86,0.044095665171898356
34,33,757,56,0.9705882352941176,0.07397622192866579
25,25,962,35,1.0,0.036382536382536385
18,18,1285,47,1.0,0.036575875486381325
34,27,1060,26,0.7941176470588235,0.024528301886792454
61,39,277,13,0.639344262295082,0.04693140794223827
47,45,647,63,0.9574468085106383,0.0973724884080371
28,27,585,25,0.9642857142857143,0.042735042735042736
45,45,1123,56,1.0,0.04986642920747997
34,22,502,12,0.6470588235294118,0.02390438247011952
65,53,1378,82,0.8153846153846154,0.059506531204644414
23,22,1064,39,0.9565217391304348,0.03665413533834586
44,37,643,50,0.8409090909090909,0.07776049766718507
48,46,629,65,0.9583333333333334,0.10333863275039745
29,24,664,45,0.8275862068965517,0.0677710843373494
59,55,691,73,0.9322033898305084,0.10564399421128799
23,20,799,29,0.8695652173913043,0.03629536921151439
78,68,859,74,0.8717948717948718,0.08614668218859138
34,33,1248,47,0.9705882352941176,0.03766025641025641
74,62,298,60,0.8378378378378378,0.20134228187919462
74,66,949,74,0.8918918918918919,0.0779768177028451
35,35,1098,45,1.0,0.040983606557377046
40,30,574,14,0.75,0.024390243902439025
37,31,932,43,0.8378378378378378,0.046137339055793994
155,139,692,152,0.896774193548387,0.21965317919075145
40,36,648,47,0.9,0.07253086419753087
53,50,689,67,0.9433962264150944,0.09724238026124818
29,26,533,48,0.896551724137931,0.0900562851782364
88,80,516,97,0.9090909090909091,0.187984496124031
17,17,450,32,1.0,0.07111111111111111
51,43,719,63,0.8431372549019608,0.08762169680111266
63,52,764,87,0.8253968253968254,0.11387434554973822
43,43,517,57,1.0,0.1102514506769826
29,28,762,33,0.9655172413793104,0.04330708661417323
39,26,549,36,0.6666666666666666,0.06557377049180328
105,101,822,129,0.9619047619047619,0.15693430656934307
39,38,996,55,0.9743589743589743,0.055220883534136546
33,24,663,8,0.7272727272727273,0.012066365007541479
47,35,694,37,0.7446808510638298,0.053314121037463975
23,23,1013,43,1.0,0.04244817374136229
56,54,540,73,0.9642857142857143,0.13518518518518519
48,37,874,22,0.7708333333333334,0.02517162471395881
